POD;DATA;ORA;FL_ORA_LEGALE;CONSUMO_ATTIVA_PRELEVATA;CONSUMO_REATTIVA_INDUTTIVA_PRELEVATA;POTENZA_MASSIMA;TIPO_DATO
IT012E00491869;20180201;000000;+01;81,000;28,800;456;E
IT012E00491869;20180201;001500;+01;70,800;19,200;456;E
IT012E00491869;20180201;003000;+01;77,400;24,600;456;E
IT012E00491869;20180201;004500;+01;73,200;20,400;456;E
IT012E00491869;20180201;010000;+01;78,000;24,600;456;E
IT012E00491869;20180201;011500;+01;79,800;28,800;456;E
IT012E00491869;20180201;013000;+01;67,200;16,200;456;E
IT012E00491869;20180201;014500;+01;77,400;24,600;456;E
IT012E00491869;20180201;020000;+01;76,800;24,600;456;E
IT012E00491869;20180201;021500;+01;67,800;16,200;456;E
IT012E00491869;20180201;023000;+01;73,200;21,600;456;E
IT012E00491869;20180201;024500;+01;76,800;24,600;456;E
IT012E00491869;20180201;030000;+01;70,200;18,600;456;E
IT012E00491869;20180201;031500;+01;72,000;20,400;456;E
IT012E00491869;20180201;033000;+01;76,800;24,600;456;E
IT012E00491869;20180201;034500;+01;67,200;15,600;456;E
IT012E00491869;20180201;040000;+01;75,000;22,800;456;E
IT012E00491869;20180201;041500;+01;71,400;19,800;456;E
IT012E00491869;20180201;043000;+01;81,600;26,400;456;E
IT012E00491869;20180201;044500;+01;75,600;21,600;456;E
IT012E00491869;20180201;050000;+01;82,800;28,800;456;E
IT012E00491869;20180201;051500;+01;84,000;28,200;456;E
IT012E00491869;20180201;053000;+01;69,600;18,000;456;E
IT012E00491869;20180201;054500;+01;85,200;28,200;456;E
IT012E00491869;20180201;060000;+01;85,800;28,800;456;E
IT012E00491869;20180201;061500;+01;81,600;28,800;456;E
IT012E00491869;20180201;063000;+01;82,800;30,000;456;E
IT012E00491869;20180201;064500;+01;90,600;33,600;456;E
IT012E00491869;20180201;070000;+01;85,200;29,400;456;E
IT012E00491869;20180201;071500;+01;81,600;28,200;456;E
IT012E00491869;20180201;073000;+01;86,400;30,000;456;E
IT012E00491869;20180201;074500;+01;88,200;31,800;456;E
IT012E00491869;20180201;080000;+01;85,800;30,600;456;E
IT012E00491869;20180201;081500;+01;91,200;33,600;456;E
IT012E00491869;20180201;083000;+01;94,800;35,400;456;E
IT012E00491869;20180201;084500;+01;94,200;34,800;456;E
IT012E00491869;20180201;090000;+01;96,000;34,200;456;E
IT012E00491869;20180201;091500;+01;95,400;33,600;456;E
IT012E00491869;20180201;093000;+01;95,400;33,600;456;E
IT012E00491869;20180201;094500;+01;99,000;34,800;456;E
IT012E00491869;20180201;100000;+01;99,600;34,800;456;E
IT012E00491869;20180201;101500;+01;97,800;33,600;456;E
IT012E00491869;20180201;103000;+01;102,000;35,400;456;E
IT012E00491869;20180201;104500;+01;106,200;37,800;456;E
IT012E00491869;20180201;110000;+01;108,600;36,600;456;E
IT012E00491869;20180201;111500;+01;99,000;36,600;456;E
IT012E00491869;20180201;113000;+01;98,400;34,800;456;E
IT012E00491869;20180201;114500;+01;100,200;36,600;456;E
IT012E00491869;20180201;120000;+01;97,800;35,400;456;E
IT012E00491869;20180201;121500;+01;100,200;35,400;456;E
IT012E00491869;20180201;123000;+01;98,400;34,200;456;E
IT012E00491869;20180201;124500;+01;97,200;33,600;456;E
IT012E00491869;20180201;130000;+01;99,000;34,800;456;E
IT012E00491869;20180201;131500;+01;99,600;34,200;456;E
IT012E00491869;20180201;133000;+01;96,600;33,600;456;E
IT012E00491869;20180201;134500;+01;98,400;33,600;456;E
IT012E00491869;20180201;140000;+01;99,600;36,000;456;E
IT012E00491869;20180201;141500;+01;100,200;36,000;456;E
IT012E00491869;20180201;143000;+01;82,200;24,000;456;E
IT012E00491869;20180201;144500;+01;100,800;36,600;456;E
IT012E00491869;20180201;150000;+01;99,600;34,800;456;E
IT012E00491869;20180201;151500;+01;100,800;37,200;456;E
IT012E00491869;20180201;153000;+01;96,000;34,200;456;E
IT012E00491869;20180201;154500;+01;98,400;34,800;456;E
IT012E00491869;20180201;160000;+01;96,600;34,200;456;E
IT012E00491869;20180201;161500;+01;100,200;34,800;456;E
IT012E00491869;20180201;163000;+01;100,800;37,800;456;E
IT012E00491869;20180201;164500;+01;96,600;33,600;456;E
IT012E00491869;20180201;170000;+01;98,400;33,600;456;E
IT012E00491869;20180201;171500;+01;94,200;34,200;456;E
IT012E00491869;20180201;173000;+01;94,800;33,600;456;E
IT012E00491869;20180201;174500;+01;94,200;33,000;456;E
IT012E00491869;20180201;180000;+01;91,800;33,000;456;E
IT012E00491869;20180201;181500;+01;94,800;34,200;456;E
IT012E00491869;20180201;183000;+01;95,400;34,200;456;E
IT012E00491869;20180201;184500;+01;91,200;34,200;456;E
IT012E00491869;20180201;190000;+01;93,000;34,800;456;E
IT012E00491869;20180201;191500;+01;91,200;33,000;456;E
IT012E00491869;20180201;193000;+01;90,600;33,000;456;E
IT012E00491869;20180201;194500;+01;92,400;32,400;456;E
IT012E00491869;20180201;200000;+01;91,800;33,000;456;E
IT012E00491869;20180201;201500;+01;86,400;30,600;456;E
IT012E00491869;20180201;203000;+01;89,400;32,400;456;E
IT012E00491869;20180201;204500;+01;90,600;31,800;456;E
IT012E00491869;20180201;210000;+01;92,400;33,600;456;E
IT012E00491869;20180201;211500;+01;93,600;37,200;456;E
IT012E00491869;20180201;213000;+01;91,200;34,800;456;E
IT012E00491869;20180201;214500;+01;89,400;32,400;456;E
IT012E00491869;20180201;220000;+01;90,600;31,800;456;E
IT012E00491869;20180201;221500;+01;87,000;32,400;456;E
IT012E00491869;20180201;223000;+01;85,200;29,400;456;E
IT012E00491869;20180201;224500;+01;80,400;27,000;456;E
IT012E00491869;20180201;230000;+01;70,800;19,200;456;E
IT012E00491869;20180201;231500;+01;76,200;22,800;456;E
IT012E00491869;20180201;233000;+01;73,800;21,600;456;E
IT012E00491869;20180201;234500;+01;83,400;28,200;456;E
IT012E00491869;20180202;000000;+01;75,000;23,400;456;E
IT012E00491869;20180202;001500;+01;77,400;25,800;456;E
IT012E00491869;20180202;003000;+01;78,600;25,800;456;E
IT012E00491869;20180202;004500;+01;70,200;18,600;456;E
IT012E00491869;20180202;010000;+01;78,000;25,200;456;E
IT012E00491869;20180202;011500;+01;77,400;24,600;456;E
IT012E00491869;20180202;013000;+01;70,200;18,000;456;E
IT012E00491869;20180202;014500;+01;76,200;23,400;456;E
IT012E00491869;20180202;020000;+01;81,600;27,600;456;E
IT012E00491869;20180202;021500;+01;68,400;17,400;456;E
