POD;DATA;ORA;FL_ORA_LEGALE;CONSUMO_ATTIVA_PRELEVATA;CONSUMO_REATTIVA_INDUTTIVA_PRELEVATA;POTENZA_MASSIMA;TIPO_DATO
IT012E00491869;20180101;000000;+01;64,800;21,600;446.4;E
IT012E00491869;20180101;001500;+01;66,000;25,200;446.4;E
IT012E00491869;20180101;003000;+01;62,400;22,200;446.4;E
IT012E00491869;20180101;004500;+01;64,800;22,800;446.4;E
IT012E00491869;20180101;010000;+01;66,000;24,000;446.4;E
IT012E00491869;20180101;011500;+01;63,000;22,800;446.4;E
IT012E00491869;20180101;013000;+01;65,400;24,000;446.4;E
IT012E00491869;20180101;014500;+01;63,000;22,200;446.4;E
IT012E00491869;20180101;020000;+01;63,600;22,200;446.4;E
IT012E00491869;20180101;021500;+01;63,600;22,800;446.4;E
IT012E00491869;20180101;023000;+01;62,400;21,600;446.4;E
IT012E00491869;20180101;024500;+01;66,600;25,200;446.4;E
IT012E00491869;20180101;030000;+01;64,200;23,400;446.4;E
IT012E00491869;20180101;031500;+01;64,200;23,400;446.4;E
IT012E00491869;20180101;033000;+01;62,400;21,600;446.4;E
IT012E00491869;20180101;034500;+01;63,600;22,800;446.4;E
IT012E00491869;20180101;040000;+01;65,400;24,600;446.4;E
IT012E00491869;20180101;041500;+01;64,200;22,800;446.4;E
IT012E00491869;20180101;043000;+01;63,000;21,600;446.4;E
IT012E00491869;20180101;044500;+01;64,200;21,600;446.4;E
IT012E00491869;20180101;050000;+01;70,200;24,000;446.4;E
IT012E00491869;20180101;051500;+01;69,000;27,000;446.4;E
IT012E00491869;20180101;053000;+01;64,800;24,000;446.4;E
IT012E00491869;20180101;054500;+01;64,200;22,800;446.4;E
IT012E00491869;20180101;060000;+01;63,000;21,600;446.4;E
IT012E00491869;20180101;061500;+01;63,600;21,600;446.4;E
IT012E00491869;20180101;063000;+01;64,800;24,000;446.4;E
IT012E00491869;20180101;064500;+01;64,200;22,200;446.4;E
IT012E00491869;20180101;070000;+01;63,000;22,200;446.4;E
IT012E00491869;20180101;071500;+01;62,400;21,000;446.4;E
IT012E00491869;20180101;073000;+01;61,800;21,000;446.4;E
IT012E00491869;20180101;074500;+01;66,600;24,600;446.4;E
IT012E00491869;20180101;080000;+01;63,000;21,600;446.4;E
IT012E00491869;20180101;081500;+01;62,400;21,000;446.4;E
IT012E00491869;20180101;083000;+01;64,200;22,200;446.4;E
IT012E00491869;20180101;084500;+01;63,000;22,200;446.4;E
IT012E00491869;20180101;090000;+01;66,600;25,200;446.4;E
IT012E00491869;20180101;091500;+01;61,800;21,600;446.4;E
IT012E00491869;20180101;093000;+01;63,600;22,200;446.4;E
IT012E00491869;20180101;094500;+01;63,600;21,600;446.4;E
IT012E00491869;20180101;100000;+01;64,200;19,800;446.4;E
IT012E00491869;20180101;101500;+01;66,000;24,600;446.4;E
IT012E00491869;20180101;103000;+01;63,000;21,600;446.4;E
IT012E00491869;20180101;104500;+01;63,000;21,600;446.4;E
IT012E00491869;20180101;110000;+01;63,000;21,600;446.4;E
IT012E00491869;20180101;111500;+01;63,000;21,600;446.4;E
IT012E00491869;20180101;113000;+01;64,200;22,800;446.4;E
IT012E00491869;20180101;114500;+01;64,800;22,800;446.4;E
IT012E00491869;20180101;120000;+01;63,600;22,800;446.4;E
IT012E00491869;20180101;121500;+01;66,000;24,000;446.4;E
IT012E00491869;20180101;123000;+01;62,400;22,200;446.4;E
IT012E00491869;20180101;124500;+01;65,400;25,200;446.4;E
IT012E00491869;20180101;130000;+01;63,600;23,400;446.4;E
IT012E00491869;20180101;131500;+01;63,600;22,800;446.4;E
IT012E00491869;20180101;133000;+01;63,600;23,400;446.4;E
IT012E00491869;20180101;134500;+01;63,000;23,400;446.4;E
IT012E00491869;20180101;140000;+01;66,600;25,800;446.4;E
IT012E00491869;20180101;141500;+01;64,800;24,000;446.4;E
IT012E00491869;20180101;143000;+01;63,600;22,800;446.4;E
IT012E00491869;20180101;144500;+01;65,400;24,000;446.4;E
IT012E00491869;20180101;150000;+01;66,000;23,400;446.4;E
IT012E00491869;20180101;151500;+01;67,200;27,000;446.4;E
IT012E00491869;20180101;153000;+01;63,000;23,400;446.4;E
IT012E00491869;20180101;154500;+01;64,800;24,000;446.4;E
IT012E00491869;20180101;160000;+01;63,000;22,800;446.4;E
IT012E00491869;20180101;161500;+01;64,200;23,400;446.4;E
IT012E00491869;20180101;163000;+01;66,000;25,200;446.4;E
IT012E00491869;20180101;164500;+01;63,600;22,800;446.4;E
IT012E00491869;20180101;170000;+01;63,000;22,200;446.4;E
IT012E00491869;20180101;171500;+01;63,600;21,600;446.4;E
IT012E00491869;20180101;173000;+01;62,400;21,600;446.4;E
IT012E00491869;20180101;174500;+01;67,200;25,200;446.4;E
IT012E00491869;20180101;180000;+01;63,600;22,200;446.4;E
IT012E00491869;20180101;181500;+01;63,600;22,200;446.4;E
IT012E00491869;20180101;183000;+01;63,600;21,000;446.4;E
IT012E00491869;20180101;184500;+01;66,600;24,600;446.4;E
IT012E00491869;20180101;190000;+01;69,000;27,600;446.4;E
IT012E00491869;20180101;191500;+01;61,200;20,400;446.4;E
IT012E00491869;20180101;193000;+01;63,000;21,600;446.4;E
IT012E00491869;20180101;194500;+01;63,600;21,000;446.4;E
IT012E00491869;20180101;200000;+01;64,800;21,000;446.4;E
IT012E00491869;20180101;201500;+01;65,400;24,600;446.4;E
IT012E00491869;20180101;203000;+01;63,600;21,600;446.4;E
IT012E00491869;20180101;204500;+01;63,600;22,800;446.4;E
IT012E00491869;20180101;210000;+01;64,200;22,800;446.4;E
IT012E00491869;20180101;211500;+01;64,200;22,800;446.4;E
