POD;DATA;ORA;FL_ORA_LEGALE;CONSUMO_ATTIVA_PRELEVATA;CONSUMO_REATTIVA_INDUTTIVA_PRELEVATA;POTENZA_MASSIMA;TIPO_DATO
IT012E00491869;20200601;000000;+02;34,200;13,800;405.6;E
IT012E00491869;20200601;001500;+02;42,000;19,800;405.6;E
IT012E00491869;20200601;003000;+02;46,800;24,000;405.6;E
IT012E00491869;20200601;004500;+02;43,200;20,400;405.6;E
IT012E00491869;20200601;010000;+02;33,000;12,600;405.6;E
IT012E00491869;20200601;011500;+02;33,600;12,600;405.6;E
IT012E00491869;20200601;013000;+02;43,200;21,000;405.6;E
IT012E00491869;20200601;014500;+02;43,200;19,200;405.6;E
IT012E00491869;20200601;020000;+02;34,800;12,600;405.6;E
IT012E00491869;20200601;021500;+02;37,200;16,200;405.6;E
IT012E00491869;20200601;023000;+02;48,600;25,800;405.6;E
IT012E00491869;20200601;024500;+02;40,200;18,600;405.6;E
IT012E00491869;20200601;030000;+02;33,600;12,600;405.6;E
IT012E00491869;20200601;031500;+02;34,800;13,200;405.6;E
IT012E00491869;20200601;033000;+02;45,600;24,600;405.6;E
IT012E00491869;20200601;034500;+02;46,800;24,600;405.6;E
IT012E00491869;20200601;040000;+02;37,200;15,600;405.6;E
IT012E00491869;20200601;041500;+02;33,600;13,200;405.6;E
IT012E00491869;20200601;043000;+02;34,200;12,000;405.6;E
IT012E00491869;20200601;044500;+02;43,800;20,400;405.6;E
IT012E00491869;20200601;050000;+02;46,200;24,000;405.6;E
IT012E00491869;20200601;051500;+02;42,000;19,800;405.6;E
IT012E00491869;20200601;053000;+02;33,600;12,000;405.6;E
IT012E00491869;20200601;054500;+02;33,000;12,000;405.6;E
IT012E00491869;20200601;060000;+02;41,400;18,600;405.6;E
IT012E00491869;20200601;061500;+02;45,600;23,400;405.6;E
IT012E00491869;20200601;063000;+02;40,800;18,000;405.6;E
IT012E00491869;20200601;064500;+02;34,200;12,000;405.6;E
