POD;DATA;ORA;FL_ORA_LEGALE;CONSUMO_ATTIVA_PRELEVATA;CONSUMO_REATTIVA_INDUTTIVA_PRELEVATA;POTENZA_MASSIMA;TIPO_DATO
IT012E00491869;20200501;000000;+02;64,200;33,600;463.2;E
IT012E00491869;20200501;001500;+02;52,800;23,400;463.2;E
IT012E00491869;20200501;003000;+02;64,800;33,000;463.2;E
IT012E00491869;20200501;004500;+02;52,200;23,400;463.2;E
IT012E00491869;20200501;010000;+02;62,400;30,600;463.2;E
IT012E00491869;20200501;011500;+02;54,600;25,800;463.2;E
IT012E00491869;20200501;013000;+02;62,400;30,000;463.2;E
IT012E00491869;20200501;014500;+02;59,400;27,000;463.2;E
IT012E00491869;20200501;020000;+02;58,200;28,800;463.2;E
IT012E00491869;20200501;021500;+02;59,400;28,800;463.2;E
IT012E00491869;20200501;023000;+02;57,600;27,600;463.2;E
IT012E00491869;20200501;024500;+02;60,000;29,400;463.2;E
IT012E00491869;20200501;030000;+02;56,400;27,000;463.2;E
IT012E00491869;20200501;031500;+02;64,200;33,600;463.2;E
IT012E00491869;20200501;033000;+02;52,800;23,400;463.2;E
IT012E00491869;20200501;034500;+02;62,400;32,400;463.2;E
IT012E00491869;20200501;040000;+02;52,800;23,400;463.2;E
IT012E00491869;20200501;041500;+02;61,800;31,200;463.2;E
IT012E00491869;20200501;043000;+02;52,200;23,400;463.2;E
IT012E00491869;20200501;044500;+02;64,800;33,600;463.2;E
IT012E00491869;20200501;050000;+02;52,200;24,000;463.2;E
IT012E00491869;20200501;051500;+02;62,400;31,200;463.2;E
IT012E00491869;20200501;053000;+02;53,400;24,600;463.2;E
IT012E00491869;20200501;054500;+02;60,600;30,000;463.2;E
IT012E00491869;20200501;060000;+02;57,000;25,800;463.2;E
IT012E00491869;20200501;061500;+02;58,200;28,200;463.2;E
IT012E00491869;20200501;063000;+02;60,000;29,400;463.2;E
IT012E00491869;20200501;064500;+02;56,400;27,000;463.2;E
IT012E00491869;20200501;070000;+02;59,400;28,800;463.2;E
IT012E00491869;20200501;071500;+02;56,400;26,400;463.2;E
IT012E00491869;20200501;073000;+02;58,800;28,800;463.2;E
IT012E00491869;20200501;074500;+02;57,600;26,400;463.2;E
IT012E00491869;20200501;080000;+02;60,000;28,200;463.2;E
IT012E00491869;20200501;081500;+02;58,200;28,200;463.2;E
IT012E00491869;20200501;083000;+02;61,200;30,000;463.2;E
IT012E00491869;20200501;084500;+02;53,400;24,000;463.2;E
IT012E00491869;20200501;090000;+02;62,400;31,200;463.2;E
IT012E00491869;20200501;091500;+02;54,600;24,600;463.2;E
IT012E00491869;20200501;093000;+02;63,000;31,200;463.2;E
IT012E00491869;20200501;094500;+02;58,200;27,600;463.2;E
IT012E00491869;20200501;100000;+02;61,800;30,600;463.2;E
IT012E00491869;20200501;101500;+02;60,000;28,800;463.2;E
IT012E00491869;20200501;103000;+02;57,600;26,400;463.2;E
IT012E00491869;20200501;104500;+02;66,600;32,400;463.2;E
IT012E00491869;20200501;110000;+02;55,800;25,800;463.2;E
IT012E00491869;20200501;111500;+02;66,000;32,400;463.2;E
IT012E00491869;20200501;113000;+02;60,000;28,800;463.2;E
IT012E00491869;20200501;114500;+02;62,400;30,600;463.2;E
IT012E00491869;20200501;120000;+02;61,200;29,400;463.2;E
IT012E00491869;20200501;121500;+02;58,800;28,200;463.2;E
IT012E00491869;20200501;123000;+02;64,200;31,800;463.2;E
IT012E00491869;20200501;124500;+02;58,800;27,600;463.2;E
IT012E00491869;20200501;130000;+02;64,200;31,800;463.2;E
IT012E00491869;20200501;131500;+02;58,800;28,200;463.2;E
IT012E00491869;20200501;133000;+02;68,400;34,800;463.2;E
IT012E00491869;20200501;134500;+02;56,400;25,200;463.2;E
IT012E00491869;20200501;140000;+02;67,800;34,800;463.2;E
IT012E00491869;20200501;141500;+02;57,000;26,400;463.2;E
IT012E00491869;20200501;143000;+02;64,800;31,800;463.2;E
IT012E00491869;20200501;144500;+02;60,600;28,800;463.2;E
IT012E00491869;20200501;150000;+02;66,600;34,800;463.2;E
IT012E00491869;20200501;151500;+02;60,000;28,800;463.2;E
IT012E00491869;20200501;153000;+02;61,800;30,000;463.2;E
IT012E00491869;20200501;154500;+02;63,000;31,800;463.2;E
IT012E00491869;20200501;160000;+02;60,000;29,400;463.2;E
IT012E00491869;20200501;161500;+02;65,400;34,200;463.2;E
IT012E00491869;20200501;163000;+02;59,400;28,800;463.2;E
IT012E00491869;20200501;164500;+02;68,400;35,400;463.2;E
IT012E00491869;20200501;170000;+02;57,600;27,000;463.2;E
IT012E00491869;20200501;171500;+02;67,800;34,800;463.2;E
IT012E00491869;20200501;173000;+02;56,400;25,800;463.2;E
IT012E00491869;20200501;174500;+02;65,400;33,600;463.2;E
IT012E00491869;20200501;180000;+02;61,200;29,400;463.2;E
IT012E00491869;20200501;181500;+02;61,800;30,600;463.2;E
IT012E00491869;20200501;183000;+02;61,800;29,400;463.2;E
IT012E00491869;20200501;184500;+02;60,000;28,200;463.2;E
IT012E00491869;20200501;190000;+02;63,600;30,600;463.2;E
IT012E00491869;20200501;191500;+02;58,200;27,000;463.2;E
IT012E00491869;20200501;193000;+02;64,800;33,000;463.2;E
IT012E00491869;20200501;194500;+02;58,800;26,400;463.2;E
IT012E00491869;20200501;200000;+02;64,800;33,600;463.2;E
IT012E00491869;20200501;201500;+02;55,800;25,800;463.2;E
IT012E00491869;20200501;203000;+02;66,000;33,600;463.2;E
IT012E00491869;20200501;204500;+02;55,200;24,600;463.2;E
IT012E00491869;20200501;210000;+02;64,200;32,400;463.2;E
IT012E00491869;20200501;211500;+02;60,600;29,400;463.2;E
IT012E00491869;20200501;213000;+02;59,400;28,800;463.2;E
IT012E00491869;20200501;214500;+02;62,400;31,200;463.2;E
IT012E00491869;20200501;220000;+02;55,800;26,400;463.2;E
IT012E00491869;20200501;221500;+02;66,000;33,000;463.2;E
IT012E00491869;20200501;223000;+02;54,600;25,800;463.2;E
IT012E00491869;20200501;224500;+02;66,600;35,400;463.2;E
IT012E00491869;20200501;230000;+02;58,200;28,200;463.2;E
IT012E00491869;20200501;231500;+02;61,200;31,200;463.2;E
IT012E00491869;20200501;233000;+02;58,800;28,200;463.2;E
IT012E00491869;20200501;234500;+02;58,800;27,600;463.2;E
IT012E00491869;20200502;000000;+02;61,800;31,200;463.2;E
IT012E00491869;20200502;001500;+02;55,800;25,800;463.2;E
IT012E00491869;20200502;003000;+02;66,000;34,200;463.2;E
IT012E00491869;20200502;004500;+02;53,400;24,600;463.2;E
IT012E00491869;20200502;010000;+02;64,200;32,400;463.2;E
IT012E00491869;20200502;011500;+02;56,400;27,000;463.2;E
IT012E00491869;20200502;013000;+02;58,800;28,800;463.2;E
IT012E00491869;20200502;014500;+02;61,200;30,000;463.2;E
IT012E00491869;20200502;020000;+02;55,800;26,400;463.2;E
IT012E00491869;20200502;021500;+02;64,200;34,200;463.2;E
IT012E00491869;20200502;023000;+02;53,400;24,000;463.2;E
IT012E00491869;20200502;024500;+02;63,000;32,400;463.2;E
IT012E00491869;20200502;030000;+02;52,200;23,400;463.2;E
IT012E00491869;20200502;031500;+02;61,800;31,200;463.2;E
IT012E00491869;20200502;033000;+02;52,200;23,400;463.2;E
IT012E00491869;20200502;034500;+02;63,600;33,000;463.2;E
IT012E00491869;20200502;040000;+02;51,600;22,800;463.2;E
IT012E00491869;20200502;041500;+02;60,600;29,400;463.2;E
IT012E00491869;20200502;043000;+02;52,200;22,800;463.2;E
IT012E00491869;20200502;044500;+02;62,400;30,000;463.2;E
IT012E00491869;20200502;050000;+02;52,200;22,800;463.2;E
IT012E00491869;20200502;051500;+02;61,200;30,000;463.2;E
IT012E00491869;20200502;053000;+02;53,400;24,000;463.2;E
IT012E00491869;20200502;054500;+02;59,400;28,800;463.2;E
IT012E00491869;20200502;060000;+02;52,800;22,800;463.2;E
IT012E00491869;20200502;061500;+02;60,000;28,800;463.2;E
IT012E00491869;20200502;063000;+02;54,000;23,400;463.2;E
IT012E00491869;20200502;064500;+02;58,200;27,600;463.2;E
IT012E00491869;20200502;070000;+02;58,800;28,200;463.2;E
