POD;DATA;ORA;FL_ORA_LEGALE;CONSUMO_ATTIVA_PRELEVATA;CONSUMO_REATTIVA_INDUTTIVA_PRELEVATA;POTENZA_MASSIMA;TIPO_DATO
IT012E00491869;20200301;000000;+01;57,000;31,800;372;E
IT012E00491869;20200301;001500;+01;58,200;34,800;372;E
IT012E00491869;20200301;003000;+01;56,400;31,800;372;E
IT012E00491869;20200301;004500;+01;55,800;32,400;372;E
IT012E00491869;20200301;010000;+01;55,800;31,800;372;E
IT012E00491869;20200301;011500;+01;56,400;33,000;372;E
IT012E00491869;20200301;013000;+01;55,800;33,000;372;E
IT012E00491869;20200301;014500;+01;58,800;35,400;372;E
IT012E00491869;20200301;020000;+01;55,800;33,000;372;E
IT012E00491869;20200301;021500;+01;55,800;33,000;372;E
IT012E00491869;20200301;023000;+01;57,000;33,600;372;E
IT012E00491869;20200301;024500;+01;47,400;25,200;372;E
IT012E00491869;20200301;030000;+01;47,400;24,000;372;E
IT012E00491869;20200301;031500;+01;55,200;31,800;372;E
IT012E00491869;20200301;033000;+01;55,200;31,200;372;E
IT012E00491869;20200301;034500;+01;55,800;31,800;372;E
IT012E00491869;20200301;040000;+01;55,200;31,200;372;E
IT012E00491869;20200301;041500;+01;55,200;30,600;372;E
IT012E00491869;20200301;043000;+01;55,800;30,600;372;E
IT012E00491869;20200301;044500;+01;58,800;31,800;372;E
IT012E00491869;20200301;050000;+01;56,400;31,800;372;E
IT012E00491869;20200301;051500;+01;55,200;30,600;372;E
IT012E00491869;20200301;053000;+01;55,800;32,400;372;E
IT012E00491869;20200301;054500;+01;55,800;32,400;372;E
IT012E00491869;20200301;060000;+01;56,400;32,400;372;E
IT012E00491869;20200301;061500;+01;58,800;34,800;372;E
IT012E00491869;20200301;063000;+01;55,800;31,200;372;E
IT012E00491869;20200301;064500;+01;55,800;31,800;372;E
IT012E00491869;20200301;070000;+01;55,800;31,800;372;E
IT012E00491869;20200301;071500;+01;51,000;27,600;372;E
IT012E00491869;20200301;073000;+01;46,800;24,000;372;E
IT012E00491869;20200301;074500;+01;53,400;28,800;372;E
IT012E00491869;20200301;080000;+01;55,800;30,600;372;E
IT012E00491869;20200301;081500;+01;55,200;31,200;372;E
IT012E00491869;20200301;083000;+01;55,800;30,000;372;E
IT012E00491869;20200301;084500;+01;55,800;30,600;372;E
IT012E00491869;20200301;090000;+01;56,400;33,000;372;E
IT012E00491869;20200301;091500;+01;58,800;34,200;372;E
IT012E00491869;20200301;093000;+01;55,800;31,800;372;E
IT012E00491869;20200301;094500;+01;55,800;31,800;372;E
IT012E00491869;20200301;100000;+01;55,800;31,800;372;E
IT012E00491869;20200301;101500;+01;56,400;32,400;372;E
IT012E00491869;20200301;103000;+01;56,400;32,400;372;E
IT012E00491869;20200301;104500;+01;57,600;33,000;372;E
IT012E00491869;20200301;110000;+01;55,800;31,200;372;E
IT012E00491869;20200301;111500;+01;56,400;32,400;372;E
IT012E00491869;20200301;113000;+01;55,800;31,200;372;E
IT012E00491869;20200301;114500;+01;57,000;31,200;372;E
IT012E00491869;20200301;120000;+01;57,000;32,400;372;E
IT012E00491869;20200301;121500;+01;58,200;33,600;372;E
IT012E00491869;20200301;123000;+01;56,400;31,800;372;E
IT012E00491869;20200301;124500;+01;55,800;31,200;372;E
IT012E00491869;20200301;130000;+01;56,400;31,800;372;E
IT012E00491869;20200301;131500;+01;56,400;31,800;372;E
