POD;DATA;ORA;FL_ORA_LEGALE;CONSUMO_ATTIVA_PRELEVATA;CONSUMO_REATTIVA_INDUTTIVA_PRELEVATA;POTENZA_MASSIMA;TIPO_DATO
IT012E00491824;20200201;000000;+01;121,550;52,250;783.2;E
IT012E00491824;20200201;001500;+01;121,550;52,250;783.2;E
IT012E00491824;20200201;003000;+01;121,550;52,250;783.2;E
IT012E00491824;20200201;004500;+01;121,550;53,350;783.2;E
IT012E00491824;20200201;010000;+01;121,000;53,350;783.2;E
IT012E00491824;20200201;011500;+01;120,450;52,800;783.2;E
IT012E00491824;20200201;013000;+01;120,450;52,800;783.2;E
IT012E00491824;20200201;014500;+01;120,450;52,250;783.2;E
IT012E00491824;20200201;020000;+01;119,900;52,250;783.2;E
IT012E00491824;20200201;021500;+01;120,450;52,250;783.2;E
IT012E00491824;20200201;023000;+01;119,900;52,250;783.2;E
IT012E00491824;20200201;024500;+01;119,900;52,250;783.2;E
IT012E00491824;20200201;030000;+01;121,000;53,350;783.2;E
IT012E00491824;20200201;031500;+01;119,900;52,250;783.2;E
IT012E00491824;20200201;033000;+01;120,450;52,800;783.2;E
IT012E00491824;20200201;034500;+01;120,450;52,800;783.2;E
IT012E00491824;20200201;040000;+01;119,900;51,700;783.2;E
IT012E00491824;20200201;041500;+01;119,900;52,250;783.2;E
IT012E00491824;20200201;043000;+01;120,450;51,700;783.2;E
IT012E00491824;20200201;044500;+01;119,900;52,250;783.2;E
IT012E00491824;20200201;050000;+01;120,450;52,250;783.2;E
IT012E00491824;20200201;051500;+01;119,900;51,700;783.2;E
IT012E00491824;20200201;053000;+01;119,900;51,150;783.2;E
IT012E00491824;20200201;054500;+01;120,450;51,700;783.2;E
IT012E00491824;20200201;060000;+01;120,450;51,700;783.2;E
IT012E00491824;20200201;061500;+01;121,550;53,350;783.2;E
IT012E00491824;20200201;063000;+01;121,000;52,800;783.2;E
IT012E00491824;20200201;064500;+01;121,000;52,800;783.2;E
IT012E00491824;20200201;070000;+01;121,550;51,700;783.2;E
IT012E00491824;20200201;071500;+01;122,100;52,250;783.2;E
IT012E00491824;20200201;073000;+01;126,500;52,800;783.2;E
IT012E00491824;20200201;074500;+01;126,500;53,350;783.2;E
IT012E00491824;20200201;080000;+01;128,150;53,350;783.2;E
IT012E00491824;20200201;081500;+01;129,250;52,800;783.2;E
IT012E00491824;20200201;083000;+01;130,900;55,000;783.2;E
IT012E00491824;20200201;084500;+01;132,000;57,750;783.2;E
IT012E00491824;20200201;090000;+01;131,450;56,650;783.2;E
IT012E00491824;20200201;091500;+01;132,550;57,750;783.2;E
IT012E00491824;20200201;093000;+01;131,450;55,550;783.2;E
IT012E00491824;20200201;094500;+01;132,000;56,100;783.2;E
IT012E00491824;20200201;100000;+01;132,550;56,650;783.2;E
IT012E00491824;20200201;101500;+01;132,550;56,650;783.2;E
IT012E00491824;20200201;103000;+01;132,550;56,650;783.2;E
IT012E00491824;20200201;104500;+01;133,100;57,750;783.2;E
IT012E00491824;20200201;110000;+01;133,100;58,300;783.2;E
IT012E00491824;20200201;111500;+01;130,900;55,000;783.2;E
IT012E00491824;20200201;113000;+01;130,900;55,000;783.2;E
IT012E00491824;20200201;114500;+01;130,900;55,550;783.2;E
IT012E00491824;20200201;120000;+01;130,900;55,550;783.2;E
IT012E00491824;20200201;121500;+01;130,350;55,000;783.2;E
IT012E00491824;20200201;123000;+01;132,000;57,750;783.2;E
IT012E00491824;20200201;124500;+01;129,800;56,100;783.2;E
IT012E00491824;20200201;130000;+01;129,250;56,650;783.2;E
IT012E00491824;20200201;131500;+01;128,150;55,550;783.2;E
IT012E00491824;20200201;133000;+01;127,600;55,550;783.2;E
IT012E00491824;20200201;134500;+01;127,050;55,000;783.2;E
IT012E00491824;20200201;140000;+01;126,500;55,000;783.2;E
IT012E00491824;20200201;141500;+01;125,950;54,450;783.2;E
IT012E00491824;20200201;143000;+01;125,950;55,000;783.2;E
IT012E00491824;20200201;144500;+01;126,500;54,450;783.2;E
IT012E00491824;20200201;150000;+01;125,950;54,450;783.2;E
IT012E00491824;20200201;151500;+01;125,950;55,000;783.2;E
IT012E00491824;20200201;153000;+01;125,950;55,000;783.2;E
IT012E00491824;20200201;154500;+01;126,500;54,450;783.2;E
IT012E00491824;20200201;160000;+01;125,950;54,450;783.2;E
IT012E00491824;20200201;161500;+01;125,950;55,000;783.2;E
IT012E00491824;20200201;163000;+01;125,950;55,000;783.2;E
IT012E00491824;20200201;164500;+01;126,500;54,450;783.2;E
IT012E00491824;20200201;170000;+01;125,950;55,000;783.2;E
IT012E00491824;20200201;171500;+01;125,950;55,000;783.2;E
IT012E00491824;20200201;173000;+01;125,950;53,900;783.2;E
IT012E00491824;20200201;174500;+01;124,850;54,450;783.2;E
IT012E00491824;20200201;180000;+01;120,450;53,900;783.2;E
IT012E00491824;20200201;181500;+01;121,000;53,900;783.2;E
IT012E00491824;20200201;183000;+01;120,450;53,350;783.2;E
IT012E00491824;20200201;184500;+01;121,000;54,450;783.2;E
IT012E00491824;20200201;190000;+01;121,000;54,450;783.2;E
IT012E00491824;20200201;191500;+01;120,450;53,900;783.2;E
IT012E00491824;20200201;193000;+01;121,000;54,450;783.2;E
IT012E00491824;20200201;194500;+01;121,000;54,450;783.2;E
IT012E00491824;20200201;200000;+01;121,550;55,550;783.2;E
IT012E00491824;20200201;201500;+01;121,000;53,900;783.2;E
IT012E00491824;20200201;203000;+01;120,450;53,350;783.2;E
IT012E00491824;20200201;204500;+01;120,450;53,350;783.2;E
IT012E00491824;20200201;210000;+01;121,000;53,900;783.2;E
IT012E00491824;20200201;211500;+01;120,450;53,900;783.2;E
IT012E00491824;20200201;213000;+01;121,000;53,900;783.2;E
IT012E00491824;20200201;214500;+01;121,000;53,900;783.2;E
IT012E00491824;20200201;220000;+01;121,000;54,450;783.2;E
IT012E00491824;20200201;221500;+01;121,000;55,000;783.2;E
IT012E00491824;20200201;223000;+01;119,350;51,150;783.2;E
IT012E00491824;20200201;224500;+01;119,350;50,600;783.2;E
IT012E00491824;20200201;230000;+01;119,350;51,150;783.2;E
IT012E00491824;20200201;231500;+01;119,350;51,150;783.2;E
IT012E00491824;20200201;233000;+01;119,900;52,250;783.2;E
IT012E00491824;20200201;234500;+01;120,450;52,250;783.2;E
IT012E00491824;20200202;000000;+01;119,900;52,250;783.2;E
IT012E00491824;20200202;001500;+01;119,350;52,250;783.2;E
IT012E00491824;20200202;003000;+01;120,450;52,250;783.2;E
IT012E00491824;20200202;004500;+01;119,900;52,800;783.2;E
IT012E00491824;20200202;010000;+01;112,750;53,350;783.2;E
IT012E00491824;20200202;011500;+01;113,300;53,350;783.2;E
IT012E00491824;20200202;013000;+01;121,550;53,900;783.2;E
IT012E00491824;20200202;014500;+01;122,650;53,900;783.2;E
IT012E00491824;20200202;020000;+01;121,550;53,350;783.2;E
IT012E00491824;20200202;021500;+01;121,550;52,800;783.2;E
IT012E00491824;20200202;023000;+01;120,450;53,350;783.2;E
IT012E00491824;20200202;024500;+01;121,000;52,800;783.2;E
IT012E00491824;20200202;030000;+01;119,900;52,800;783.2;E
IT012E00491824;20200202;031500;+01;120,450;53,350;783.2;E
IT012E00491824;20200202;033000;+01;120,450;53,350;783.2;E
IT012E00491824;20200202;034500;+01;119,350;52,250;783.2;E
IT012E00491824;20200202;040000;+01;120,450;53,350;783.2;E
IT012E00491824;20200202;041500;+01;119,900;53,350;783.2;E
IT012E00491824;20200202;043000;+01;119,350;52,800;783.2;E
IT012E00491824;20200202;044500;+01;119,350;52,250;783.2;E
IT012E00491824;20200202;050000;+01;119,900;52,800;783.2;E
IT012E00491824;20200202;051500;+01;119,350;52,250;783.2;E
IT012E00491824;20200202;053000;+01;119,350;51,700;783.2;E
IT012E00491824;20200202;054500;+01;119,350;52,250;783.2;E
IT012E00491824;20200202;060000;+01;119,900;51,700;783.2;E
IT012E00491824;20200202;061500;+01;119,900;51,150;783.2;E
IT012E00491824;20200202;063000;+01;119,350;51,150;783.2;E
IT012E00491824;20200202;064500;+01;119,350;51,150;783.2;E
IT012E00491824;20200202;070000;+01;120,450;50,050;783.2;E
IT012E00491824;20200202;071500;+01;119,350;50,050;783.2;E
IT012E00491824;20200202;073000;+01;119,900;50,600;783.2;E
IT012E00491824;20200202;074500;+01;119,350;50,050;783.2;E
IT012E00491824;20200202;080000;+01;119,350;50,050;783.2;E
IT012E00491824;20200202;081500;+01;119,900;50,600;783.2;E
IT012E00491824;20200202;083000;+01;119,900;50,600;783.2;E
IT012E00491824;20200202;084500;+01;119,900;50,050;783.2;E
IT012E00491824;20200202;090000;+01;119,350;50,050;783.2;E
IT012E00491824;20200202;091500;+01;119,350;50,050;783.2;E
IT012E00491824;20200202;093000;+01;118,800;50,050;783.2;E
IT012E00491824;20200202;094500;+01;118,800;49,500;783.2;E
IT012E00491824;20200202;100000;+01;119,350;49,500;783.2;E
IT012E00491824;20200202;101500;+01;119,350;50,050;783.2;E
IT012E00491824;20200202;103000;+01;118,800;50,050;783.2;E
IT012E00491824;20200202;104500;+01;118,800;50,050;783.2;E
IT012E00491824;20200202;110000;+01;120,450;52,800;783.2;E
IT012E00491824;20200202;111500;+01;120,450;52,800;783.2;E
IT012E00491824;20200202;113000;+01;119,900;52,800;783.2;E
IT012E00491824;20200202;114500;+01;119,900;51,150;783.2;E
IT012E00491824;20200202;120000;+01;119,900;48,950;783.2;E
IT012E00491824;20200202;121500;+01;120,450;48,950;783.2;E
IT012E00491824;20200202;123000;+01;120,450;49,500;783.2;E
