POD;DATA;ORA;FL_ORA_LEGALE;CONSUMO_ATTIVA_PRELEVATA;CONSUMO_REATTIVA_INDUTTIVA_PRELEVATA;POTENZA_MASSIMA;TIPO_DATO
IT012E00491824;20200101;000000;+01;41,250;9,900;807.4;E
IT012E00491824;20200101;001500;+01;41,250;9,350;807.4;E
IT012E00491824;20200101;003000;+01;40,150;9,350;807.4;E
IT012E00491824;20200101;004500;+01;40,150;9,900;807.4;E
IT012E00491824;20200101;010000;+01;40,150;9,900;807.4;E
IT012E00491824;20200101;011500;+01;39,600;9,900;807.4;E
IT012E00491824;20200101;013000;+01;40,700;11,000;807.4;E
IT012E00491824;20200101;014500;+01;40,700;9,900;807.4;E
IT012E00491824;20200101;020000;+01;40,700;9,350;807.4;E
IT012E00491824;20200101;021500;+01;40,700;9,900;807.4;E
IT012E00491824;20200101;023000;+01;40,700;9,900;807.4;E
IT012E00491824;20200101;024500;+01;40,700;9,900;807.4;E
IT012E00491824;20200101;030000;+01;41,250;10,450;807.4;E
IT012E00491824;20200101;031500;+01;40,700;9,900;807.4;E
IT012E00491824;20200101;033000;+01;40,700;9,900;807.4;E
IT012E00491824;20200101;034500;+01;40,700;9,900;807.4;E
IT012E00491824;20200101;040000;+01;40,150;9,900;807.4;E
IT012E00491824;20200101;041500;+01;39,600;9,900;807.4;E
IT012E00491824;20200101;043000;+01;40,150;10,450;807.4;E
IT012E00491824;20200101;044500;+01;40,150;9,900;807.4;E
IT012E00491824;20200101;050000;+01;39,600;9,350;807.4;E
IT012E00491824;20200101;051500;+01;41,250;9,900;807.4;E
IT012E00491824;20200101;053000;+01;40,150;9,900;807.4;E
IT012E00491824;20200101;054500;+01;40,150;9,350;807.4;E
IT012E00491824;20200101;060000;+01;41,800;9,350;807.4;E
IT012E00491824;20200101;061500;+01;40,700;9,350;807.4;E
IT012E00491824;20200101;063000;+01;34,100;8,250;807.4;E
IT012E00491824;20200101;064500;+01;34,100;8,800;807.4;E
IT012E00491824;20200101;070000;+01;34,100;8,250;807.4;E
IT012E00491824;20200101;071500;+01;34,100;8,250;807.4;E
IT012E00491824;20200101;073000;+01;33,000;7,700;807.4;E
IT012E00491824;20200101;074500;+01;33,000;8,800;807.4;E
IT012E00491824;20200101;080000;+01;33,550;8,800;807.4;E
IT012E00491824;20200101;081500;+01;33,000;8,250;807.4;E
IT012E00491824;20200101;083000;+01;33,000;8,250;807.4;E
IT012E00491824;20200101;084500;+01;34,100;8,800;807.4;E
IT012E00491824;20200101;090000;+01;34,100;7,700;807.4;E
IT012E00491824;20200101;091500;+01;33,550;8,800;807.4;E
IT012E00491824;20200101;093000;+01;34,100;8,250;807.4;E
IT012E00491824;20200101;094500;+01;34,100;8,800;807.4;E
IT012E00491824;20200101;100000;+01;34,650;8,800;807.4;E
IT012E00491824;20200101;101500;+01;34,100;8,800;807.4;E
IT012E00491824;20200101;103000;+01;34,650;8,800;807.4;E
IT012E00491824;20200101;104500;+01;34,650;8,800;807.4;E
IT012E00491824;20200101;110000;+01;33,550;8,800;807.4;E
IT012E00491824;20200101;111500;+01;33,000;8,250;807.4;E
IT012E00491824;20200101;113000;+01;33,550;8,800;807.4;E
IT012E00491824;20200101;114500;+01;33,550;8,800;807.4;E
IT012E00491824;20200101;120000;+01;33,000;8,250;807.4;E
IT012E00491824;20200101;121500;+01;34,100;8,250;807.4;E
IT012E00491824;20200101;123000;+01;34,100;8,800;807.4;E
IT012E00491824;20200101;124500;+01;34,100;8,250;807.4;E
IT012E00491824;20200101;130000;+01;34,100;8,800;807.4;E
IT012E00491824;20200101;131500;+01;34,100;8,800;807.4;E
IT012E00491824;20200101;133000;+01;34,650;8,800;807.4;E
IT012E00491824;20200101;134500;+01;34,100;8,800;807.4;E
IT012E00491824;20200101;140000;+01;34,100;8,250;807.4;E
IT012E00491824;20200101;141500;+01;34,100;8,800;807.4;E
IT012E00491824;20200101;143000;+01;34,100;9,350;807.4;E
IT012E00491824;20200101;144500;+01;33,550;9,350;807.4;E
IT012E00491824;20200101;150000;+01;34,100;9,350;807.4;E
IT012E00491824;20200101;151500;+01;33,550;9,350;807.4;E
IT012E00491824;20200101;153000;+01;33,550;9,350;807.4;E
IT012E00491824;20200101;154500;+01;34,100;8,800;807.4;E
IT012E00491824;20200101;160000;+01;34,650;8,800;807.4;E
IT012E00491824;20200101;161500;+01;34,650;8,800;807.4;E
IT012E00491824;20200101;163000;+01;34,100;8,800;807.4;E
IT012E00491824;20200101;164500;+01;34,650;8,800;807.4;E
IT012E00491824;20200101;170000;+01;34,100;8,800;807.4;E
IT012E00491824;20200101;171500;+01;33,550;8,250;807.4;E
IT012E00491824;20200101;173000;+01;34,100;8,250;807.4;E
IT012E00491824;20200101;174500;+01;34,100;8,250;807.4;E
IT012E00491824;20200101;180000;+01;32,450;8,250;807.4;E
IT012E00491824;20200101;181500;+01;33,000;8,250;807.4;E
IT012E00491824;20200101;183000;+01;32,450;7,700;807.4;E
IT012E00491824;20200101;184500;+01;33,550;8,800;807.4;E
IT012E00491824;20200101;190000;+01;33,000;8,250;807.4;E
IT012E00491824;20200101;191500;+01;33,550;8,250;807.4;E
IT012E00491824;20200101;193000;+01;34,100;8,800;807.4;E
IT012E00491824;20200101;194500;+01;33,550;8,800;807.4;E
IT012E00491824;20200101;200000;+01;33,550;8,250;807.4;E
IT012E00491824;20200101;201500;+01;33,550;8,800;807.4;E
IT012E00491824;20200101;203000;+01;34,100;8,800;807.4;E
IT012E00491824;20200101;204500;+01;33,550;8,800;807.4;E
IT012E00491824;20200101;210000;+01;33,550;8,800;807.4;E
IT012E00491824;20200101;211500;+01;33,550;9,350;807.4;E
IT012E00491824;20200101;213000;+01;33,550;9,350;807.4;E
IT012E00491824;20200101;214500;+01;33,550;9,350;807.4;E
IT012E00491824;20200101;220000;+01;32,450;8,800;807.4;E
IT012E00491824;20200101;221500;+01;33,000;9,350;807.4;E
IT012E00491824;20200101;223000;+01;34,100;8,800;807.4;E
IT012E00491824;20200101;224500;+01;34,100;9,350;807.4;E
IT012E00491824;20200101;230000;+01;34,100;8,800;807.4;E
IT012E00491824;20200101;231500;+01;34,100;8,800;807.4;E
IT012E00491824;20200101;233000;+01;33,550;8,800;807.4;E
IT012E00491824;20200101;234500;+01;33,550;8,250;807.4;E
IT012E00491824;20200102;000000;+01;33,550;8,800;807.4;E
IT012E00491824;20200102;001500;+01;33,000;8,800;807.4;E
IT012E00491824;20200102;003000;+01;34,100;8,800;807.4;E
IT012E00491824;20200102;004500;+01;33,550;8,250;807.4;E
IT012E00491824;20200102;010000;+01;33,550;9,350;807.4;E
IT012E00491824;20200102;011500;+01;32,450;9,350;807.4;E
IT012E00491824;20200102;013000;+01;32,450;8,800;807.4;E
IT012E00491824;20200102;014500;+01;32,450;9,350;807.4;E
IT012E00491824;20200102;020000;+01;31,900;8,800;807.4;E
IT012E00491824;20200102;021500;+01;31,900;8,800;807.4;E
IT012E00491824;20200102;023000;+01;33,000;8,800;807.4;E
IT012E00491824;20200102;024500;+01;33,000;8,800;807.4;E
IT012E00491824;20200102;030000;+01;33,000;8,800;807.4;E
IT012E00491824;20200102;031500;+01;33,550;8,800;807.4;E
IT012E00491824;20200102;033000;+01;33,000;8,800;807.4;E
IT012E00491824;20200102;034500;+01;32,450;8,250;807.4;E
IT012E00491824;20200102;040000;+01;33,000;8,800;807.4;E
IT012E00491824;20200102;041500;+01;33,000;8,250;807.4;E
IT012E00491824;20200102;043000;+01;33,000;8,250;807.4;E
IT012E00491824;20200102;044500;+01;33,000;8,250;807.4;E
IT012E00491824;20200102;050000;+01;32,450;8,250;807.4;E
IT012E00491824;20200102;051500;+01;32,450;7,700;807.4;E
IT012E00491824;20200102;053000;+01;32,450;8,800;807.4;E
IT012E00491824;20200102;054500;+01;33,000;8,800;807.4;E
IT012E00491824;20200102;060000;+01;33,000;8,800;807.4;E
IT012E00491824;20200102;061500;+01;33,550;8,800;807.4;E
IT012E00491824;20200102;063000;+01;40,700;8,800;807.4;E
IT012E00491824;20200102;064500;+01;41,250;9,350;807.4;E
IT012E00491824;20200102;070000;+01;40,700;8,800;807.4;E
IT012E00491824;20200102;071500;+01;42,350;9,900;807.4;E
IT012E00491824;20200102;073000;+01;46,750;13,750;807.4;E
IT012E00491824;20200102;074500;+01;61,050;24,750;807.4;E
IT012E00491824;20200102;080000;+01;71,500;24,200;807.4;E
IT012E00491824;20200102;081500;+01;74,250;24,750;807.4;E
IT012E00491824;20200102;083000;+01;78,650;26,950;807.4;E
IT012E00491824;20200102;084500;+01;91,300;28,600;807.4;E
IT012E00491824;20200102;090000;+01;93,500;28,050;807.4;E
IT012E00491824;20200102;091500;+01;94,050;28,600;807.4;E
IT012E00491824;20200102;093000;+01;94,600;28,050;807.4;E
IT012E00491824;20200102;094500;+01;94,600;29,150;807.4;E
IT012E00491824;20200102;100000;+01;95,700;28,600;807.4;E
IT012E00491824;20200102;101500;+01;95,700;28,050;807.4;E
IT012E00491824;20200102;103000;+01;96,250;28,600;807.4;E
IT012E00491824;20200102;104500;+01;95,150;27,500;807.4;E
IT012E00491824;20200102;110000;+01;96,250;28,600;807.4;E
IT012E00491824;20200102;111500;+01;96,250;28,600;807.4;E
IT012E00491824;20200102;113000;+01;94,600;28,600;807.4;E
IT012E00491824;20200102;114500;+01;94,600;28,600;807.4;E
IT012E00491824;20200102;120000;+01;94,600;29,150;807.4;E
IT012E00491824;20200102;121500;+01;94,050;29,150;807.4;E
IT012E00491824;20200102;123000;+01;94,050;28,600;807.4;E
IT012E00491824;20200102;124500;+01;94,050;29,700;807.4;E
IT012E00491824;20200102;130000;+01;94,050;29,700;807.4;E
IT012E00491824;20200102;131500;+01;99,550;31,350;807.4;E
IT012E00491824;20200102;133000;+01;101,200;32,450;807.4;E
IT012E00491824;20200102;134500;+01;101,200;32,450;807.4;E
IT012E00491824;20200102;140000;+01;103,950;33,550;807.4;E
IT012E00491824;20200102;141500;+01;103,950;34,650;807.4;E
IT012E00491824;20200102;143000;+01;103,950;34,100;807.4;E
IT012E00491824;20200102;144500;+01;103,950;35,200;807.4;E
IT012E00491824;20200102;150000;+01;110,550;36,850;807.4;E
IT012E00491824;20200102;151500;+01;111,100;36,300;807.4;E
IT012E00491824;20200102;153000;+01;110,550;35,750;807.4;E
IT012E00491824;20200102;154500;+01;112,750;38,500;807.4;E
IT012E00491824;20200102;160000;+01;112,750;37,400;807.4;E
IT012E00491824;20200102;161500;+01;112,200;36,850;807.4;E
IT012E00491824;20200102;163000;+01;112,750;37,950;807.4;E
IT012E00491824;20200102;164500;+01;112,200;36,850;807.4;E
IT012E00491824;20200102;170000;+01;112,200;39,050;807.4;E
IT012E00491824;20200102;171500;+01;111,100;39,050;807.4;E
IT012E00491824;20200102;173000;+01;111,650;39,600;807.4;E
IT012E00491824;20200102;174500;+01;112,200;40,700;807.4;E
IT012E00491824;20200102;180000;+01;110,550;39,050;807.4;E
IT012E00491824;20200102;181500;+01;108,900;38,500;807.4;E
IT012E00491824;20200102;183000;+01;108,900;37,950;807.4;E
IT012E00491824;20200102;184500;+01;109,450;39,600;807.4;E
IT012E00491824;20200102;190000;+01;109,450;38,500;807.4;E
IT012E00491824;20200102;191500;+01;108,350;38,500;807.4;E
IT012E00491824;20200102;193000;+01;108,900;38,500;807.4;E
IT012E00491824;20200102;194500;+01;108,900;38,500;807.4;E
IT012E00491824;20200102;200000;+01;107,800;36,850;807.4;E
IT012E00491824;20200102;201500;+01;106,700;36,850;807.4;E
IT012E00491824;20200102;203000;+01;107,800;36,850;807.4;E
IT012E00491824;20200102;204500;+01;106,700;36,300;807.4;E
IT012E00491824;20200102;210000;+01;107,250;37,400;807.4;E
IT012E00491824;20200102;211500;+01;107,800;37,400;807.4;E
IT012E00491824;20200102;213000;+01;107,250;36,850;807.4;E
IT012E00491824;20200102;214500;+01;107,250;37,950;807.4;E
IT012E00491824;20200102;220000;+01;102,300;37,950;807.4;E
IT012E00491824;20200102;221500;+01;102,300;37,950;807.4;E
IT012E00491824;20200102;223000;+01;102,850;38,500;807.4;E
IT012E00491824;20200102;224500;+01;103,400;38,500;807.4;E
IT012E00491824;20200102;230000;+01;101,750;37,400;807.4;E
IT012E00491824;20200102;231500;+01;101,750;35,750;807.4;E
IT012E00491824;20200102;233000;+01;101,200;36,300;807.4;E
IT012E00491824;20200102;234500;+01;101,750;36,300;807.4;E
IT012E00491824;20200103;000000;+01;102,300;37,400;807.4;E
IT012E00491824;20200103;001500;+01;101,750;36,850;807.4;E
IT012E00491824;20200103;003000;+01;101,750;37,400;807.4;E
IT012E00491824;20200103;004500;+01;102,300;37,400;807.4;E
IT012E00491824;20200103;010000;+01;101,200;37,950;807.4;E
IT012E00491824;20200103;011500;+01;101,200;37,400;807.4;E
IT012E00491824;20200103;013000;+01;101,750;37,400;807.4;E
IT012E00491824;20200103;014500;+01;100,650;36,850;807.4;E
IT012E00491824;20200103;020000;+01;101,200;37,400;807.4;E
IT012E00491824;20200103;021500;+01;101,200;37,400;807.4;E
IT012E00491824;20200103;023000;+01;101,200;37,400;807.4;E
IT012E00491824;20200103;024500;+01;101,200;36,850;807.4;E
IT012E00491824;20200103;030000;+01;101,200;37,400;807.4;E
IT012E00491824;20200103;031500;+01;101,200;37,400;807.4;E
IT012E00491824;20200103;033000;+01;101,200;36,850;807.4;E
IT012E00491824;20200103;034500;+01;101,200;37,400;807.4;E
IT012E00491824;20200103;040000;+01;101,200;36,850;807.4;E
IT012E00491824;20200103;041500;+01;100,650;36,850;807.4;E
IT012E00491824;20200103;043000;+01;101,200;36,300;807.4;E
IT012E00491824;20200103;044500;+01;101,200;37,400;807.4;E
IT012E00491824;20200103;050000;+01;100,650;35,750;807.4;E
IT012E00491824;20200103;051500;+01;100,650;35,750;807.4;E
IT012E00491824;20200103;053000;+01;100,650;35,750;807.4;E
IT012E00491824;20200103;054500;+01;100,100;35,750;807.4;E
IT012E00491824;20200103;060000;+01;101,200;34,650;807.4;E
IT012E00491824;20200103;061500;+01;99,550;34,650;807.4;E
IT012E00491824;20200103;063000;+01;87,450;33,550;807.4;E
IT012E00491824;20200103;064500;+01;86,900;33,000;807.4;E
IT012E00491824;20200103;070000;+01;89,100;34,100;807.4;E
IT012E00491824;20200103;071500;+01;94,050;36,300;807.4;E
IT012E00491824;20200103;073000;+01;103,950;37,400;807.4;E
IT012E00491824;20200103;074500;+01;108,900;38,500;807.4;E
IT012E00491824;20200103;080000;+01;110,550;38,500;807.4;E
IT012E00491824;20200103;081500;+01;112,200;37,400;807.4;E
IT012E00491824;20200103;083000;+01;112,750;37,400;807.4;E
IT012E00491824;20200103;084500;+01;114,950;39,050;807.4;E
IT012E00491824;20200103;090000;+01;114,950;38,500;807.4;E
IT012E00491824;20200103;091500;+01;117,150;39,600;807.4;E
IT012E00491824;20200103;093000;+01;117,700;40,150;807.4;E
IT012E00491824;20200103;094500;+01;127,600;48,400;807.4;E
IT012E00491824;20200103;100000;+01;131,450;52,800;807.4;E
IT012E00491824;20200103;101500;+01;131,450;53,350;807.4;E
IT012E00491824;20200103;103000;+01;132,000;52,250;807.4;E
IT012E00491824;20200103;104500;+01;132,000;53,350;807.4;E
IT012E00491824;20200103;110000;+01;132,550;52,800;807.4;E
IT012E00491824;20200103;111500;+01;134,200;53,900;807.4;E
IT012E00491824;20200103;113000;+01;134,200;52,800;807.4;E
IT012E00491824;20200103;114500;+01;133,100;53,350;807.4;E
IT012E00491824;20200103;120000;+01;139,150;57,200;807.4;E
IT012E00491824;20200103;121500;+01;140,800;58,850;807.4;E
IT012E00491824;20200103;123000;+01;141,350;58,850;807.4;E
IT012E00491824;20200103;124500;+01;141,350;60,500;807.4;E
IT012E00491824;20200103;130000;+01;140,800;60,500;807.4;E
IT012E00491824;20200103;131500;+01;141,350;60,500;807.4;E
IT012E00491824;20200103;133000;+01;140,800;59,950;807.4;E
IT012E00491824;20200103;134500;+01;140,800;59,950;807.4;E
IT012E00491824;20200103;140000;+01;140,800;59,950;807.4;E
IT012E00491824;20200103;141500;+01;141,350;61,050;807.4;E
IT012E00491824;20200103;143000;+01;141,350;59,950;807.4;E
IT012E00491824;20200103;144500;+01;140,250;59,950;807.4;E
IT012E00491824;20200103;150000;+01;140,250;59,400;807.4;E
IT012E00491824;20200103;151500;+01;141,900;60,500;807.4;E
IT012E00491824;20200103;153000;+01;142,450;62,150;807.4;E
IT012E00491824;20200103;154500;+01;140,800;60,500;807.4;E
IT012E00491824;20200103;160000;+01;139,150;59,400;807.4;E
IT012E00491824;20200103;161500;+01;136,950;59,950;807.4;E
IT012E00491824;20200103;163000;+01;135,300;58,300;807.4;E
IT012E00491824;20200103;164500;+01;134,750;58,300;807.4;E
IT012E00491824;20200103;170000;+01;134,200;58,300;807.4;E
IT012E00491824;20200103;171500;+01;133,100;57,750;807.4;E
IT012E00491824;20200103;173000;+01;133,650;58,300;807.4;E
IT012E00491824;20200103;174500;+01;133,100;57,750;807.4;E
IT012E00491824;20200103;180000;+01;133,100;57,200;807.4;E
IT012E00491824;20200103;181500;+01;132,550;57,750;807.4;E
IT012E00491824;20200103;183000;+01;132,000;56,650;807.4;E
IT012E00491824;20200103;184500;+01;131,450;57,200;807.4;E
IT012E00491824;20200103;190000;+01;132,000;57,200;807.4;E
IT012E00491824;20200103;191500;+01;131,450;57,200;807.4;E
IT012E00491824;20200103;193000;+01;131,450;57,200;807.4;E
IT012E00491824;20200103;194500;+01;131,450;57,750;807.4;E
IT012E00491824;20200103;200000;+01;131,450;58,300;807.4;E
IT012E00491824;20200103;201500;+01;130,350;57,750;807.4;E
IT012E00491824;20200103;203000;+01;130,900;58,300;807.4;E
IT012E00491824;20200103;204500;+01;130,900;58,300;807.4;E
IT012E00491824;20200103;210000;+01;130,350;56,650;807.4;E
IT012E00491824;20200103;211500;+01;129,800;56,650;807.4;E
IT012E00491824;20200103;213000;+01;130,350;57,200;807.4;E
IT012E00491824;20200103;214500;+01;129,250;57,200;807.4;E
IT012E00491824;20200103;220000;+01;125,950;57,750;807.4;E
IT012E00491824;20200103;221500;+01;125,950;57,200;807.4;E
IT012E00491824;20200103;223000;+01;125,950;57,750;807.4;E
IT012E00491824;20200103;224500;+01;126,500;57,750;807.4;E
IT012E00491824;20200103;230000;+01;125,400;57,750;807.4;E
IT012E00491824;20200103;231500;+01;126,500;58,850;807.4;E
IT012E00491824;20200103;233000;+01;125,950;58,300;807.4;E
IT012E00491824;20200103;234500;+01;126,500;57,200;807.4;E
IT012E00491824;20200104;000000;+01;124,850;52,250;807.4;E
IT012E00491824;20200104;001500;+01;124,850;52,250;807.4;E
IT012E00491824;20200104;003000;+01;125,400;52,800;807.4;E
