POD;DATA;ORA;FL_ORA_LEGALE;CONSUMO_ATTIVA_PRELEVATA;CONSUMO_REATTIVA_INDUTTIVA_PRELEVATA;POTENZA_MASSIMA;TIPO_DATO
IT012E00491824;20200301;000000;+01;123,200;51,150;688.6;E
IT012E00491824;20200301;001500;+01;123,750;51,700;688.6;E
IT012E00491824;20200301;003000;+01;124,300;51,700;688.6;E
IT012E00491824;20200301;004500;+01;123,200;52,250;688.6;E
IT012E00491824;20200301;010000;+01;123,750;52,800;688.6;E
IT012E00491824;20200301;011500;+01;123,200;53,900;688.6;E
IT012E00491824;20200301;013000;+01;123,750;53,350;688.6;E
IT012E00491824;20200301;014500;+01;123,750;53,900;688.6;E
IT012E00491824;20200301;020000;+01;123,200;52,800;688.6;E
IT012E00491824;20200301;021500;+01;123,200;53,900;688.6;E
IT012E00491824;20200301;023000;+01;123,750;53,900;688.6;E
IT012E00491824;20200301;024500;+01;123,750;53,900;688.6;E
IT012E00491824;20200301;030000;+01;123,200;52,800;688.6;E
IT012E00491824;20200301;031500;+01;122,100;50,050;688.6;E
IT012E00491824;20200301;033000;+01;121,550;50,600;688.6;E
IT012E00491824;20200301;034500;+01;122,100;50,600;688.6;E
IT012E00491824;20200301;040000;+01;122,650;50,600;688.6;E
IT012E00491824;20200301;041500;+01;122,100;50,050;688.6;E
IT012E00491824;20200301;043000;+01;121,000;50,050;688.6;E
IT012E00491824;20200301;044500;+01;122,100;50,050;688.6;E
IT012E00491824;20200301;050000;+01;121,000;48,950;688.6;E
IT012E00491824;20200301;051500;+01;121,550;50,050;688.6;E
IT012E00491824;20200301;053000;+01;122,100;50,600;688.6;E
IT012E00491824;20200301;054500;+01;122,650;52,250;688.6;E
IT012E00491824;20200301;060000;+01;123,750;51,150;688.6;E
IT012E00491824;20200301;061500;+01;122,650;51,700;688.6;E
IT012E00491824;20200301;063000;+01;123,750;51,150;688.6;E
IT012E00491824;20200301;064500;+01;122,650;51,150;688.6;E
IT012E00491824;20200301;070000;+01;123,200;51,150;688.6;E
IT012E00491824;20200301;071500;+01;123,200;50,600;688.6;E
IT012E00491824;20200301;073000;+01;123,200;51,150;688.6;E
IT012E00491824;20200301;074500;+01;123,200;50,600;688.6;E
IT012E00491824;20200301;080000;+01;123,200;50,600;688.6;E
IT012E00491824;20200301;081500;+01;122,650;50,600;688.6;E
IT012E00491824;20200301;083000;+01;123,200;50,050;688.6;E
IT012E00491824;20200301;084500;+01;122,650;50,050;688.6;E
IT012E00491824;20200301;090000;+01;124,300;53,350;688.6;E
IT012E00491824;20200301;091500;+01;124,300;53,350;688.6;E
IT012E00491824;20200301;093000;+01;123,750;52,800;688.6;E
IT012E00491824;20200301;094500;+01;123,750;52,250;688.6;E
IT012E00491824;20200301;100000;+01;123,750;52,800;688.6;E
IT012E00491824;20200301;101500;+01;124,300;53,350;688.6;E
IT012E00491824;20200301;103000;+01;123,750;52,250;688.6;E
IT012E00491824;20200301;104500;+01;123,750;52,250;688.6;E
IT012E00491824;20200301;110000;+01;123,750;52,250;688.6;E
IT012E00491824;20200301;111500;+01;124,300;52,800;688.6;E
IT012E00491824;20200301;113000;+01;123,750;52,250;688.6;E
IT012E00491824;20200301;114500;+01;123,200;51,700;688.6;E
IT012E00491824;20200301;120000;+01;123,750;52,250;688.6;E
IT012E00491824;20200301;121500;+01;123,750;52,250;688.6;E
IT012E00491824;20200301;123000;+01;123,750;51,700;688.6;E
IT012E00491824;20200301;124500;+01;123,200;51,700;688.6;E
IT012E00491824;20200301;130000;+01;123,750;52,250;688.6;E
IT012E00491824;20200301;131500;+01;123,750;49,500;688.6;E
IT012E00491824;20200301;133000;+01;123,750;47,300;688.6;E
IT012E00491824;20200301;134500;+01;121,550;45,650;688.6;E
IT012E00491824;20200301;140000;+01;122,650;45,650;688.6;E
IT012E00491824;20200301;141500;+01;122,650;45,650;688.6;E
IT012E00491824;20200301;143000;+01;122,100;46,200;688.6;E
IT012E00491824;20200301;144500;+01;123,200;46,200;688.6;E
IT012E00491824;20200301;150000;+01;122,100;46,200;688.6;E
IT012E00491824;20200301;151500;+01;122,650;46,200;688.6;E
IT012E00491824;20200301;153000;+01;122,650;46,750;688.6;E
IT012E00491824;20200301;154500;+01;123,200;46,750;688.6;E
IT012E00491824;20200301;160000;+01;122,100;46,200;688.6;E
IT012E00491824;20200301;161500;+01;123,200;46,750;688.6;E
IT012E00491824;20200301;163000;+01;123,200;46,750;688.6;E
IT012E00491824;20200301;164500;+01;122,650;46,750;688.6;E
IT012E00491824;20200301;170000;+01;122,650;46,200;688.6;E
IT012E00491824;20200301;171500;+01;122,650;46,200;688.6;E
IT012E00491824;20200301;173000;+01;122,650;46,200;688.6;E
IT012E00491824;20200301;174500;+01;122,100;45,650;688.6;E
IT012E00491824;20200301;180000;+01;123,200;47,300;688.6;E
IT012E00491824;20200301;181500;+01;123,200;48,400;688.6;E
IT012E00491824;20200301;183000;+01;124,300;48,950;688.6;E
IT012E00491824;20200301;184500;+01;123,750;48,400;688.6;E
IT012E00491824;20200301;190000;+01;123,750;48,950;688.6;E
IT012E00491824;20200301;191500;+01;123,200;47,850;688.6;E
IT012E00491824;20200301;193000;+01;123,750;48,400;688.6;E
IT012E00491824;20200301;194500;+01;123,200;48,400;688.6;E
IT012E00491824;20200301;200000;+01;123,750;48,400;688.6;E
IT012E00491824;20200301;201500;+01;123,750;48,950;688.6;E
